name,type,price,state,position,area
红星美凯龙,商铺,15500元/平,在售,开福-开福开福区北二环捞刀河路与兴联路交汇处,--
高岭国际商贸城,商铺,24000元/平,在售,开福-北二环中段与捞刀河路交汇处东北角（彭家巷西北侧）,--
华谊兄弟电影小镇,商铺,35000元/平,在售,岳麓-坪塘大道与巡抚路交汇处往东800米,--
汇景发展环球中心,商业类,18000元/平,待售,天心-湘江中路二段178号,建面 114m²
晟通牡丹舸,住宅,360万/套,在售,岳麓-岳麓区梅溪湖国际新城环湖路777号 （梅溪湖摩天轮旁）,建面 233m²
深业堤亚纳湾,住宅,7500元/平,在售,开福-开福区北二环一段169号（楚家湖公园边上）,建面 63m²
明昇壹城,住宅,12500元/平,在售,雨花-雨花区劳动东路与花侯路交汇处（恒大绿洲对面）,建面 117m²
达美溪湖湾,商业类,20000元/平,在售,岳麓-环湖路798号,建面 33~35m²
裕天国际商汇中心,商业类,13000元/平,在售,雨花-雨花区韶山路汽车南站斜对角,建面 42m²
楚天逸品,住宅,12000元/平,在售,开福-开福区湘江北路三段48号（湘江世纪城北端）,建面 295m²
大鸿杰座,商业类,13800元/平,在售,雨花-雨花区雨花路88号,建面 49m²
大汉海派,商业类,15000元/平,在售,芙蓉-芙蓉区车站北路与火炬路交汇处（烈士公园东门对面）,建面 50m²
恒大江湾,商业类,11500元/平,在售,芙蓉-芙蓉区远大路与农园路交汇处东南角（临近汽车东站）,建面 43m²
广泰锦苑,商业类,9888元/平,在售,岳麓-岳麓区含光路与谷丰路交汇处西南角（岳麓区政府西侧）,建面 40m²
中建江山壹号,住宅,20000元/平,在售,天心-天心区湘江中路与南湖路交汇处东南角,建面 364m²
中盈广场,写字楼,14500元/平,在售,岳麓-潇湘南大道与岳塘路交汇处,--
壹号座品,写字楼,14000元/平,在售,芙蓉-芙蓉区八一路399-19号(湖南信息大厦西边),--
梅溪鑫苑名家,商铺,30000元/平,在售,岳麓-岳麓区梅溪湖东方红路与东雷路交汇处（步步高新天地以南）,--
五江天街,写字楼,12000元/平,在售,雨花-雨花区万家丽路与曲塘路交汇处西北角,--
财富名园,住宅,8500元/平,在售,开福-开福区万家丽北路二段18号,建面 184m²
北辰定江洋,住宅,15000元/平,在售,开福-湘江北路三段1200号,建面 284m²
汇金城,商铺,30000元/平,在售,雨花-雨花区韶山南路与环保大道交汇处东北角（省国税局旁）,--
富兴旺角,商铺,25000元/平,在售,开福-福元中路28号,--
光明E城,商铺,40000元/平,在售,岳麓-岳麓区银杉路559号,--
谷山逸墅,别墅,15000元/平,在售,望城-望城区金星北段209号（师大附中星城实验中学附近）,建面 215m²
钱隆国际,商铺,42000元/平,在售,开福-开福区芙蓉北路与兴联路交汇处,--
中邦国际,写字楼,18000元/平,在售,雨花-雨花劳动东路439号（邻长沙玻璃纤维总厂）,--
金桥国际,商铺,20000元/平,在售,望城-长沙市湘江新区普瑞大道西,--
紫御江山人民里,商铺,30000元/平,在售,芙蓉-芙蓉区人民东路与望龙路交汇处西北角（红旗路口站附近）,--
长沙渔人码头,商铺,70000元/平,在售,岳麓-岳麓岳麓大道与潇湘北路交汇处东北角,--
奥克斯缔壹城,商铺,15000元/平,在售,岳麓-岳麓西二环与杜鹃路交汇西北角（市政府北侧沿杜鹃路向西约两公里）,--
北大资源时光,商铺,26000元/平,在售,岳麓-洋湖垸坪塘大道与岳塘路交汇处东南角,--
五江天街南区,商铺,30000元/平,在售,雨花-雨花区万家丽路与木莲路交汇处往西200米,--
美洲故事,商铺,26000元/平,在售,雨花-万家丽中路三段189号,--
凯乐微谷,商铺,30000元/平,在售,开福-徒岭路凯乐微谷,--
云集国际广场,商铺,9500元/平,在售,雨花-雨花香樟路255号（中航工业长沙院斜对面）,--
明发国际城,商业类,7000元/平,在售,望城-望城区金星大道与月亮岛路交汇处东南角（长高集团对面）,建面 53m²
湾田国际,商铺,14800元/平,在售,望城-丁字镇太阳山路388号,--
富兴世界金融中心,写字楼,21000元/平,在售,开福-芙蓉中路一段303号,--
金鸿宇国际商业广场,写字楼,10080元/平,在售,雨花-雨花区高桥朝晖路55号（长沙海关东侧）,--
长沙华创国际广场,写字楼,17000元/平,在售,开福-芙蓉中路一段113号,--
中部智谷产业园,写字楼,6500元/平,在售,芙蓉-映霞路23号以南250米处,--
恒伟湘江时代,写字楼,15000元/平,在售,岳麓-岳麓洋湖总部经济区兆新路与长湾路交汇处西南角（奥克斯广场南边）,--
园康星都荟,写字楼,8888元/平,在售,雨花-洞井中路与木莲冲路交汇处西南角,--
锦天金岸雅苑,住宅,11500元/平,在售,天心-书院南路539号,建面 90m²
地泰人民公馆,商业类,15200元/平,在售,雨花-人民中路72号,建面 47m²
星语林·南壹号,住宅,6000元/平,在售,天心-天心区芙蓉南路与伊莱克斯大道交汇处,建面 67m²
融创前海中心,写字楼,9550元/平,在售,雨花-香樟路469号,--
滨江海棠湾,商铺,26000元/平,在售,岳麓-岳麓区岳华路1200号,--
海德公园,商铺,36000元/平,在售,长沙县-经济开发区东六线与盼盼路交汇处东北角（泉塘公园北侧）,--
山水英伦庄园,商铺,25000元/平,在售,岳麓-岳麓区正兴路118号,--
宁华星湖湾,商铺,23000元/平,在售,长沙县-经济开发区开元东路189号（洪家铺子以南）,--
里约荟,商业类,10300元/平,在售,开福-开福区芙蓉北路二段163号,建面 76m²
天健壹平方英里,写字楼,14000元/平,在售,开福-芙蓉中路一段88号,--
天元七彩MALL,商铺,20000元/平,在售,岳麓-文轩路579号,--
旷远洋湖18克拉,商铺,30000元/平,在售,岳麓-岳麓区坪塘大道与洋湖大道的交汇处往东100米（洋湖湿地公园一期东门左侧）,--
中信凯旋城,商铺,25000元/平,在售,天心-天心区环保西路与中意路交汇处西南角,--
大财门,写字楼,16000元/平,在售,雨花-雨花区人民中路与梓园路交汇处东南角（湘雅二医院正对面）,--
高升财智汇,写字楼,11000元/平,在售,雨花-雨花区中意一路798号,--
江河湾中心,写字楼,9000元/平,在售,雨花-沙湾路339号,--
双塔国际广场,写字楼,14000元/平,在售,雨花-雨花区湘府东路二段258号,--
兴威帕克水岸,商铺,30000元/平,在售,天心-天心区书院南路南二环二段306号,--
卓越浅水湾,商铺,24000元/平,在售,岳麓-岳麓区梅溪湖环湖路与近湖七路交汇处西北角（梅溪湖沙滩公园旁）,--
中隆国际嘉熙中心,写字楼,20000元/平,在售,雨花-雨花区人民中路152号（地质中学站附近）,--
保利国际广场,商铺,20000元/平,在售,天心-天心区书院路9号,--
长盛上东区,写字楼,12000元/平,在售,芙蓉-芙蓉区车站北路465号烈士公园东门对面（步步高超市旁）,--
华尔街中心,写字楼,16800元/平,在售,开福-开福区芙蓉中路一段288号,--
江山帝景,商业类,8900元/平,在售,岳麓-含浦大道学士路99号（洋湖垸湿地公园西大门对面）,建面 40m²
九龙领仕汇,商铺,70万/套,在售,岳麓-岳麓区长沙绕城高速九龙领仕汇,--
CROSS尚公馆,商铺,20000元/平,在售,望城-望城星城镇杨峰村桑梓村,--
福晟国际金融中心,写字楼,15500元/平,在售,岳麓-潇湘北路三段859号,--
滨江金融中心,写字楼,15000元/平,在售,岳麓-茶子山东路112号,--
万科里金域国际,商铺,35000元/平,在售,岳麓-潇湘北路三段1060号,--
楷林国际,写字楼,22000元/平,在售,岳麓-滨江路53号,--
宇成朝阳广场,写字楼,13000元/平,在售,芙蓉-芙蓉区车站中路与人民中路交汇处（长沙火车站往南300米）,--
未来漫城,写字楼,14000元/平,在售,长沙县-经济开发区星沙大道与滨湖路交汇处东南角（松雅湖畔）,--
华坤时代,写字楼,15000元/平,在售,雨花-湘府东路二段200号,--
武广新都城,商铺,25500元/平,在售,长沙县-香樟东路延伸线黄江公路（黄兴镇镇政府旁）,--
长房时代城,写字楼,14000元/平,在售,岳麓-桐梓坡西路138号,--
长城万富汇,写字楼,7800元/平,在售,开福-四方坪双拥路9号,--
绿地中心,写字楼,17000元/平,在售,开福-芙蓉中路一段319号,--
顺天国际金融中心,写字楼,18500元/平,在售,雨花-雨花韶山路355号（雨花亭北公交站以北）,--
蓝湾国际广场,写字楼,12000元/平,在售,天心-南湖路458号,--
北辰中央公园,商铺,20000元/平,在售,天心-书香路759号,--
鑫远国际大厦,写字楼,12000元/平,在售,天心-湘府西路31号,--
长沙西中心,写字楼,13000元/平,在售,岳麓-西二环与枫林路交汇处,--
创谷,写字楼,8500元/平,在售,天心-雀园路568号,--
汇一广场,商铺,50000元/平,在售,芙蓉-远大二路725号,--
