name,type,price,state,position,area
蓝润东悦荟,商业类,12000元/平,在售,成华-东客站西广场300米（成华区锦绣大道）,--
和雅嘉御,商业类,20000元/平,在售,高新-永丰路7号（衣冠庙地铁口B出口）,--
城南优品道,商业类,8800元/平,在售,双流-双流区优品道  优品时代,--
梦魔方广场,商业类,13500元/平,在售,成华-中环路锦绣大道段与金马河路交叉口东100米,--
成都文儒德,住宅,42000元/平,在售,高新-近慈路66号（石室中学后门石羊派出所旁）,建面 185~213m²
望江名门,商业类,1700万/套,在售,锦江-三官堂街与龙舟路交汇处,--
中粮御嶺湾,别墅,800万/套,在售,龙泉驿-同安镇阳光城阳光大道138号,建面 450m²
伊泰天骄,住宅,27000元/平,在售,锦江-通宝街88号,建面 370m²
美洲花园棕榈湾,住宅,19000元/平,在售,高新-南三环路南五段188号（蓝天立交桥旁边）,建面 90~105m²
棕榈泉费尔蒙公寓,住宅,350万/套,在售,高新-天府大道中段199号,建面 89~129m²
恒大广场,住宅,29000元/平,在售,青羊-提督街99号（近四川国际大厦E区）,建面 219m²
九龙仓擎天半岛,住宅,30000元/平,在售,锦江-东大街锦东路（牛市口派出所旁）,建面 240m²
润富国际花园,商业类,24000元/平,在售,高新-交子大道998号,--
新鸿基悦城,住宅,381万/套,在售,天府新区-天府大道南段海昌南路99号,建面 272m²
阿玛尼艺术公寓,住宅,320万/套,在售,锦江-顺江路335号（望江公园和川大旁）,建面 160~192m²
俊发星雅俊园,商业类,12000元/平,在售,锦江-牡丹街39号,--
雅居乐富春山居,住宅,16500元/平,在售,天府新区-万安镇麓山大道二段19号,建面 286~410m²
新景鼎南川宇,商业类,13000元/平,在售,高新-中和中柏大道（格林君典旁）,--
泽瑞西园,别墅,875万/套,在售,金牛-金泉路12号,建面 372m²
亚特兰蒂斯黄金时代,别墅,425万/套,在售,新津-天府新城南（成雅高速邓双出口下行500米）,建面 330m²
蓝润ISC,商业类,17500元/平,在售,天府新区-天府大道与华府大道交汇处,--
锦巷兰台,别墅,350万/套,在售,郫都-犀浦镇金粮路与全兴路交汇处,建面 154m²
观城,商业类,16000元/平,在售,成华-双成五路66号,--
锦城南府猫先生,商业类,19500元/平,在售,高新-高新区天府三街855号（大源中央公园旁）,--
龙湖小院青城,别墅,140万/套,在售,都江堰-青城山大三路2号,建面 85m²
乐古浪,住宅,5800元/平,在售,温江-寿安镇（陈家桅杆附近）,建面 58~115m²
和贵南山上,别墅,700万/套,在售,天府新区-天府大道南段2859号,建面 560m²
瑞升橄榄山,别墅,13000元/平,在售,双流-胜利镇燕杨路2号（维也纳森林别墅旁）,建面 290~331m²
明信鹭湾,商业类,12000元/平,在售,成华-御风一路9号,--
外滩新天地,住宅,9500元/平,在售,都江堰-玉沿路与N17县道交叉口南100米,建面 48~123m²
青龙广场,商业类,10400元/平,在售,成华-东丽街与东紫路交汇处（动物园东大门）,--
金科星耀天都,商业类,12600元/平,在售,成华-成华区圣地亚家居斜对面,--
大源欢乐颂,商业类,17000元/平,在售,高新-天府三街1599号（天府三街与南华路交汇处）,--
明都汇,商业类,45万/套,在售,新都-斑竹园镇南华路和竹韵大道交汇处,--
美好庄园,别墅,15000元/平,在售,新津-芝芝路888号,建面 753m²
青城山居,住宅,37万/套,在售,崇州-街子古镇三街路209号,建面 41~64m²
西蜀祥瑞府,住宅,19万/套,在售,郫都-古城镇马街（古城小学旁）,建面 52~76m²
香悦城,住宅,23000元/平,在售,高新-益州大道中段699号（天府一街与天府二街之间）,建面 71~87m²
成都棕榈泉国际中心,写字楼,21000元/平,在售,高新-天府大道中段199号（地铁1号线世纪城站出口）,--
北城鑫街,商铺,40000元/平,在售,成华-驷马桥洪山路28号,--
IMC国际广场,商铺,20000元/平,在售,高新-天府大道与天府一街交汇处（地铁1号线世纪城北行500米）,建面 85m²
海亮樾金沙,商铺,22000元/平,在售,青羊-西三环蜀鑫路与清波路交汇处（华润金悦湾对面）,--
蓝润锦江春天,商业类,18500元/平,在售,锦江-成龙路与银杏大道交汇处,--
百维广场,商铺,13000元/平,在售,郫都-红光镇高店路西段226号,--
时代锦绣,商铺,50000元/平,在售,武侯-武侯大道文昌段与新机场路的交汇处（中天物流园旁）,--
汇都商贸城,商业类,7900元/平,在售,双流-双楠大道中段888号（双楠大道和星空路交汇处）,--
青城神韵二期,住宅,10000元/平,在售,崇州-街子古镇金鱼街1号（青城神韵一期旁）,建面 59m²
海亮彩悦府,底商,30000元/平,在售,龙泉驿-驿都大道北海亮彩悦府,--
神仙树缤纷,底商,20000元/平,在售,高新-新义西街96号,--
电建地产美立方,底商,13000元/平,在售,成华-东三环二段与龙潭E线交汇处（三环路内侧）,--
西锦国际二期,底商,24000元/平,在售,金牛-花牌坊北街99号,--
北大资源公园1898,商铺,30000元/平,在售,双流-金河路与西安路交汇处（凤翔湖旁）,--
中铁瑞景汇中心,底商,30000元/平,在售,金牛-五块石玉居庵东路116号（红旗连锁旁）,--
晶楠天地,底商,40000元/平,在售,武侯-晋吉南路82号,--
万辰乐居,底商,14000元/平,在售,新津-花源镇花源大道290号,--
龙湖世纪峰景,底商,48000元/平,在售,高新-世纪城新会展中心418号（天鹅湖畔）,--
邦泰华府公馆,底商,23000元/平,在售,双流-双华路三段(四川现代职业技术学院对面),--
东原亲亲里,底商,32000元/平,在售,金牛-金科北路地铁2号线站口20米（交警六分局旁）,--
东原时光道,底商,40000元/平,在售,青羊-光华大道东4路78号（万家湾公交站旁边）,--
金阳不夜都,底商,38000元/平,在售,武侯-西三环路三段草金立交内侧万顺二路155号,--
鞋都风尚中心,商铺,35000元/平,在售,武侯-成双大道中段鞋都南二路139号,--
万茂UIC,底商,37000元/平,在售,武侯-聚龙路1251号,--
和信天骄府,商业类,23万/套,在售,新都-南二路北侧(党校旁),--
金美国际,底商,30000元/平,在售,金牛-长青路88号,--
鼎犀名城,底商,30000元/平,在售,郫都-国宁东路666号(成都外国语学校旁),--
华宇西城雅郡,商铺,43000元/平,在售,金牛-金泉街道高家社区2组（金科路小学旁）,--
洛森堡,底商,28000元/平,在售,天府新区-麓山大道630号,--
林溪康城,底商,17000元/平,在售,龙泉驿-阳光城幸福大道,--
桔子国际,底商,60000元/平,在售,金牛-西一环三段5号（地铁中医附院战D出口200米处）,--
城置尚豪庭,商铺,70000元/平,在售,青羊-草市街38号,--
台州商人大厦,商铺,40000元/平,在售,成华-昭觉寺横路80号,--
龙湖时代天街,底商,30000元/平,在售,高新西-高新西区合作路89号,--
佳年华广场一期,商铺,30000元/平,在售,成华-峨眉山路369号,--
领地海纳时代,底商,25000元/平,在售,成华-致力东街领地海纳时代,--
华都九龙广场,商铺,30000元/平,在售,新都-蓉都大道南四段,--
宇众悦城,商铺,22000元/平,在售,郫都-红光镇红光广场路四段216号（技师学院旁）,--
中冶中央公园,底商,27500元/平,在售,郫都-西梨路一段（中铁奥维尔旁）,--
城市春天,底商,40000元/平,在售,高新-益州大道北段388号,--
置信学府杏林一期,底商,25000元/平,在售,温江-芙蓉大道二段八一路99号,--
朗基少帅府,底商,35500元/平,在售,郫都-犀浦镇万福新街45号,--
永立星城都,商业类,18000元/平,在售,成华-二环路与府青路交汇处（原512建材市场旁）,--
华霖金贸商厦,底商,60000元/平,在售,金牛-商贸大道二段189号,--
佳乐国际城一期,底商,13000元/平,在售,新都-蜀龙路南段777号（三原外国语学校对面）,--
北京街,底商,45000元/平,在售,天府新区-华阳街道府河路与南湖路交汇处,--
银海中心,底商,36000元/平,在售,金牛-一环路北四段108号（一环以内）,--
融创观玺台花园,底商,30000元/平,在售,青羊-西货站路207号,--
龙湖九里晴川,底商,20000元/平,在售,高新-雅和南四路216号,--
合能橙中心,底商,27000元/平,在售,郫都-犀浦镇银河西街99号（地铁2号线天河路站D出口）,--
洲际亚洲湾,商铺,28000元/平,在售,温江-光华大道三段江浦路288号,--
朗基御今缘,底商,40000元/平,在售,高新-天府四街1999号,--
名著司南,底商,40000元/平,在售,高新-天府大道南段1355号（地铁1号线南延线广都站口）,--
洲际银海湾,底商,34000元/平,在售,温江-光华大道三段江浦路888号（江安河畔）,--
洲际春天广场,底商,30000元/平,在售,温江-温泉大道177号（新城西站附近）,--
汇富大厦,底商,50000元/平,在售,成华-二环路东二段6号附13,--
心怡中丝园,商铺,173万/套,在售,天府新区-万东路369号,--
金恒德时代金悦,底商,30000元/平,在售,温江-政通东路369号（温泉大道与花土路交汇处）,--
千禧河畔B区,底商,32000元/平,在售,温江-光华大道三段清泉北街,--
中国华商金融中心,写字楼,22000元/平,在售,高新-金融城交子大道（天府国际金融中心旁）,--
华府幸福城,商铺,30000元/平,在售,龙泉驿-阳光城幸福大道333号,--
锦江逸家,底商,55000元/平,在售,锦江-茶花街106号,--
百悦城云景,底商,30000元/平,在售,龙泉驿-大面街道天鹅西湖南路899号,--
峨眉山与湖,住宅,14000元/平,在售,峨眉山市-名山路南段188号,建面 86m²
黑龙滩国际社区,别墅,400万/套,在售,仁寿县-黑龙滩风景区与省道106线交汇处,建面 313m²
