name,type,price,state,position,area
融创滨江壹号,住宅,12500元/平,在售,沙坪坝-沙滨路石井坡地铁站旁,套内 88~109m²
华宇锦绣花城,住宅,12000元/平,在售,九龙坡-华岩新城华福大道,套内 67~116m²
国博城,住宅,15000元/平,在售,渝北-悦来街道悦城路36号,套内 111~136m²
融创江南融府,住宅,10800元/平,在售,南岸-6号线刘家坪轻轨站旁,套内 68~112m²
金科金辉博翠山,住宅,10500元/平,在售,北碚-蔡家大桥旁（同康路）,套内 85~120m²
融创玖玺台,住宅,40000元/平,在售,南岸-国际会展中心（凯宾斯基酒店旁）,套内 320m²
恒大世纪城,住宅,200万/套,在售,渝北-金州大道重光立交（人民小学旁）,套内 63~115m²
绿地保税中心,商业类,13000元/平,在售,江北-重庆市江北区海尔路与金渝大道交汇处,套内 27~35m²
巴南府邸,住宅,9500元/平,在售,巴南-鱼洞镇龙洲湾龙洲大道1号,套内 117m²
融创春晖十里,住宅,9000元/平,在售,大渡口-金桥路（原车家坪小学旁）,套内 65~83m²
绿地海外滩,住宅,13000元/平,在售,江北-鸿恩寺公园大门处（往北滨路下行800米处）,套内 135~269m²
协信公馆,住宅,28000元/平,在售,渝中-胜利路132号(黄花园大桥南桥头),套内 86~167m²
万科金色悦城,商业类,8700元/平,在售,沙坪坝-沙坪坝区风鸣山300号,套内 23m²
融创白象街,住宅,35000元/平,在售,渝中-解放路与凯旋路交汇处（西部药材商城旁药材公会）,套内 211~478m²
鲁能星城十三街区,商业类,13000元/平,在售,江北-渝鲁大道777号(渝鲁大道与泰山大道交汇处),套内 31~75m²
奥园盘龙壹号,商业类,13000元/平,在售,九龙坡-火炬大道（巴国城旁）,套内 29~54m²
恒大照母山,住宅,15000元/平,在售,渝北-金山大道大坡隧道北口,套内 109m²
渝高幸福九里,住宅,12000元/平,待售,大渡口-迎宾大道华园路18号（巴国城旁）,套内 66m²
南滨特区,住宅,27000元/平,在售,南岸-南滨路(珊瑚水岸旁),套内 130~193m²
鲁能领秀城,住宅,12000元/平,在售,南岸-茶园新区天文大道17号,套内 88~102m²
中亿阳明山水,住宅,16500元/平,在售,江北-海尔路179号（江北区政府对面）,套内 55~96m²
北大资源博雅,住宅,17000元/平,在售,渝北-金州大道北侧106号,套内 121m²
华宇龙湾,住宅,200万/套,在售,巴南-龙洲湾巴滨路（巴南新区府附近）,套内 93m²
北大资源悦来,别墅,300万/套,在售,渝北-悦来新城（国博中心旁）,套内 228m²
尚格锦园,住宅,11800元/平,在售,渝北-云山路1号（轻轨3号线翠云站旁）,套内 55~88m²
兴亚沙滨国际,住宅,12000元/平,在售,沙坪坝-石门大桥与高家花园大桥之间（宝嘉·江枫美岸旁）,套内 32m²
融汇半岛江上公馆,住宅,9500元/平,在售,巴南-李家沱巴滨路融汇半岛段（融汇半岛旁）,套内 104m²
桥达蓝湾半岛,住宅,11500元/平,在售,渝北-空港老城片区,套内 61~82m²
西正街,商业类,10500元/平,在售,渝北-宝圣大道西南政法大学旁,套内 938m²
光宇尚滨国际,商业类,12500元/平,在售,南岸-南坪新街90号（会展中心斜对面）,套内 91m²
联发欣悦,住宅,12000元/平,在售,九龙坡-火炬一路（2号线大堰村站旁）,套内 64~74m²
东海定南山,别墅,400万/套,在售,巴南-渝南大道115号(轻轨3号线花溪站旁)   ,套内 273~313m²
金科空港城,住宅,11000元/平,在售,渝北-观月大道与宏碁大道之间（观月小区695公交车站以西1000米处）,套内 81m²
绿地城,住宅,8500元/平,在售,大渡口-轻轨2号线绿地城白居寺站旁,套内 83~99m²
复地山与城,别墅,11500元/平,在售,南岸-黄桷垭福寿路2号（四公里广黔路上南山）,套内 192~216m²
御龙天峰,住宅,20000元/平,在售,江北-嘉陵江大桥北桥头（北滨路星悦荟旁）,套内 104~280m²
金科天元道,住宅,16000元/平,在售,渝北-大竹林金开大道西,套内 124m²
和泓江山国际,住宅,19500元/平,在售,渝中-肖家湾公交车站旁（大坪医院往两路口方向的肖家湾车站）,套内 77~103m²
中昂锦绣,住宅,6800元/平,在售,巴南-江南新城轻轨2、3号鱼洞站旁（巴南体育中心对面）,套内 88m²
东方剑桥柔波里,住宅,10700元/平,在售,沙坪坝-大学城中路19号,套内 99~288m²
巨龙江山国际,住宅,6500元/平,在售,江北-鱼嘴镇(鱼嘴镇政府旁),套内 76~105m²
日月光解放碑1号R3,住宅,40000元/平,在售,渝中-解放碑民权路88号（较场口转盘）,套内 63~219m²
招商雍华府,别墅,500万/套,在售,渝北-龙头寺轨3号线出口150米（麦德龙对面）,套内 217~228m²
爱情谷,住宅,5100元/平,在售,北碚-悦来北·云汉大道中段（静观镇）爱情谷,套内 61~107m²
力帆红星国际广场,住宅,22000元/平,在售,渝北-金开大道和金州大道交汇处（原武警七支队）,套内 91~116m²
力帆翡翠郡,住宅,9800元/平,在售,北碚-同康路539号,套内 99~105m²
