name,type,price,state,position,area
三寰融创城,住宅,65万/套,在售,甘井子-明珠路与牧川路的交汇处，牧川北园1号,建面 94m²
国宝星月湾,住宅,64万/套,在售,旅顺口-高新园区龙王塘（原水上人间旧址）,建面 190~235m²
中海海港城,商业类,42万/套,在售,中山-大连市中山区人民路港湾广场旁,建面 30~289m²
伊电林溪花园,住宅,11700元/平,在售,甘井子-大连市甘井子区革镇堡中心广场东行50米,建面 47~88m²
青国青城,住宅,53万/套,在售,开发区-开发区双D港大地街金湾商城北行100米,建面 63m²
中航国际广场,住宅,163万/套,在售,沙河口-大连市中山路与白山路交汇处西南角，沙河口区政府南侧,建面 160m²
昊宇山海湾,住宅,150万/套,在售,高新园区-大连市高新园区七贤岭向北300米,建面 145m²
中庚香海金鼎,住宅,5200元/平,在售,旅顺口-大连旅顺开发区202轻轨终点站北江西街道,建面 84m²
未名山,住宅,18000元/平,在售,高新园区-高新园区凌水湾七贤东路万达广场南,建面 285m²
银帆国际,住宅,45万/套,在售,开发区-大连市开发区黄海西路4号金马路轻轨站南向，步行5分钟,建面 75m²
中交金海湾,住宅,25万/套,在售,金州-御海园,建面 50m²
万国宫馆三期,住宅,24万/套,在售,开发区-开发区黄海西路与赤峰街的交界处,建面 34m²
万达海公馆,住宅,280万/套,在售,高新园区-高新园区万达广场南行400米,建面 255~300m²
金州福佳新天地,住宅,30万/套,在售,金州-光明街道北山路1418号（新区五一路与北山路交汇处）,建面 87m²
南山首府,住宅,114万/套,在售,中山-中山延安路98号(大连外国语学院原址),建面 185~340m²
首开铂郡,住宅,190万/套,在售,中山-二七广场东行800米，鲁迅路和春海街交汇处,建面 146~196m²
中国铁建国滨苑,住宅,120万/套,在售,中山-中山区东港商务区港隆路与港东八街交汇处,建面 147m²
悦丽海湾,住宅,70万/套,在售,高新园区-河口湾黄浦路与小平岛路交汇处东南角240米,建面 84~134m²
御府山海观,住宅,18000元/平,在售,高新园区-高新园区七贤路39号,建面 90~190m²
港湾隽景,住宅,136万/套,在售,中山-中山区民主广场发达街2号,建面 144~165m²
一方天鹅湖,住宅,33万/套,在售,开发区-大连大学北行约4公里（201国道与大窑湾高速交汇处）,建面 92~127m²
浦项道,住宅,200万/套,在售,高新园区-高新区高能街1号,建面 220m²
宏都熙景,住宅,63万/套,在售,甘井子-大连市甘井子区华南23中北侧,建面 94~138m²
新希望乐城,住宅,30万/套,在售,金州-大连金州新区金泉路969号,建面 127m²
海尚明珠,住宅,45万/套,在售,旅顺口-高新园区顺龙园,建面 68~91m²
中海凤凰熙岸,住宅,60万/套,在售,甘井子-大连市甘井子区生态科技创新城牧城驿湖旁(前牧),建面 52~98m²
连海金源,住宅,87万/套,在售,甘井子-甘井子区西郊森林公园金柳路71号（金柳路中段）,建面 140~142m²
鹏湖湾,别墅,598万/套,在售,甘井子-甘井子区张前路与红旗西路交汇处西行300米,建面 190~300m²
山河御景,住宅,30万/套,在售,开发区-开发区铁山中路与湾里街交汇处,建面 44~72m²
三鼎春天,住宅,45万/套,在售,甘井子-甘井子区张前路和明珠路交叉口，张前路以东,建面 104~154m²
万科新里城,住宅,10500元/平,在售,旅顺口-高新园区龙王塘樱花公园旁,建面 80~95m²
缇香漫城,住宅,120万/套,在售,甘井子-甘井子区虹港路与张前路交汇处,建面 128m²
福佳机场前院,住宅,24500元/平,在售,甘井子-大连市甘井子区虹港路53号,建面 82~149m²
益丰乾城,住宅,64万/套,在售,甘井子-大连甘井子区大连湾街道金前路,建面 64m²
中海天赋山,住宅,120万/套,在售,沙河口-沙河口区新生路（中海英伦观邸项目别墅区南侧）,建面 142m²
东港林苑,住宅,60万/套,在售,中山-中山区港湾广场长江东路,建面 44~50m²
远洋荣域,住宅,68万/套,在售,甘井子-甘井子区华南商圈山东路东侧（23中北侧）,建面 81~143m²
金海国际花园,住宅,60万/套,在售,金州-金州区金渤海岸旅游度假区,建面 102~103m²
金地檀境,住宅,124万/套,在售,甘井子-大连市甘井子区前关湿地公园北侧（大连北站东行3公里）,建面 104m²
西山湖语,住宅,63万/套,在售,甘井子-红旗街道张家村,建面 119~137m²
万成御园,住宅,53万/套,在售,甘井子-甘井子新开街，十一高中北门,建面 66m²
运达诺维溪谷,住宅,40万/套,在售,甘井子-大连市甘井子区辛寨子兴博街10号,建面 150m²
金塘裕墅,别墅,580万/套,在售,甘井子-甘井子区红旗西路西山湖对面,建面 230~260m²
悦泰福里,住宅,100万/套,在售,西岗-西岗区双兴街、通海街、北岗街围合板块,建面 93~137m²
香周首府,住宅,68万/套,在售,沙河口-西岗香周路120号，香周路如家快捷酒店东行0.21公里,建面 144~151m²
鹿港小镇,住宅,55万/套,在售,甘井子-甘井子区大连湾金玛商场对面,建面 52m²
依云溪谷,住宅,64万/套,在售,甘井子-甘井子柳树街柳树村,建面 83~98m²
中国铁建海语城,住宅,180万/套,在售,甘井子-大连钻石港湾北岸生活区东方路南侧,建面 115~135m²
易和熙园,住宅,14000元/平,在售,甘井子-大连市甘井子区张前路与红旗西路交汇处（张前路东侧）,建面 71m²
万棵树,住宅,75万/套,在售,沙河口-大连市沙河口区765号,建面 85m²
金海蓝湾,住宅,31万/套,在售,金州-金州新区金渤海岸（104路公交车金海国际花园站下车即是）,建面 110m²
华丰金山花园,住宅,60万/套,在售,甘井子-甘井子区金龙路与黄山路交汇处,建面 43~102m²
春柳公园,住宅,93万/套,在售,沙河口-原春柳冰山集团低压开关厂厂区内,建面 105m²
明秀庄园二期,住宅,320万/套,在售,中山-中山区秀月街345号,建面 99~251m²
恒大帝景,住宅,150万/套,在售,沙河口-大连市沙河口区南松路南，锦江路西,建面 126m²
万科城市之光,住宅,148万/套,在售,甘井子-甘井子区松江路与张前路交汇处北行50米,建面 113m²
国泰港汇中心,商业类,100万/套,在售,中山-中山区友好广场佳兆业中心对面,建面 42~77m²
星光耀广场,住宅,420万/套,在售,中山-中山区港盛路61号,建面 252~337m²
泰达青筑,住宅,56万/套,在售,甘井子-大连市甘井子区营城子街道金龙寺国家森林公园对面,建面 70~115m²
聚美东湾,住宅,40万/套,在售,开发区-大连经济技术开发区福安街,建面 66m²
中铁诺德滨海花园,住宅,16500元/平,在售,高新园区-高新园区河口软件园北行500米三路终点站,建面 68m²
观山悦,住宅,28万/套,在售,金州-金州新区中长街道东山路,建面 70m²
自由向,住宅,40万/套,在售,开发区-开发区黄海西路8号（振连路跨海大桥入口）,建面 105m²
金宸联郡,住宅,70万/套,在售,金州-大连市金州新区金港路与龙湾路交汇处（民和小学对面）,建面 118m²
枫丹丽城,住宅,100万/套,在售,甘井子-大连市甘井子区泉水轻轨站西行300米,建面 92~138m²
万达金石天成,住宅,42万/套,在售,金州-大连经济技术开发区之江路,建面 58~126m²
光伸卧龙港湾,住宅,54万/套,在售,开发区-小窑湾国际商务区,建面 84m²
远乡维也纳,住宅,40万/套,在售,旅顺口-迎春街885号,建面 86m²
海韵华府,住宅,140万/套,在售,中山-坐落于大连市中山区，海之韵广场原址,建面 144~225m²
星海融汇,住宅,130万/套,在售,沙河口-胜利路与成仁街交汇处,建面 72~240m²
通用阳光丽景,住宅,35万/套,在售,金州-金州友谊街道龙王庙南侧,建面 82m²
柒贤贡院,住宅,14500元/平,在售,高新园区-高新园区七贤岭爱贤街与任贤街交汇处,建面 62~91m²
上河雲珠,住宅,53万/套,在售,金州-金州永安大街中心汽车站对面,建面 73m²
中庚当代艺术,住宅,290万/套,在售,中山-中山区人民路CBD东段，港湾广场东侧，东港商务区内达沃斯国际会议中心东行1000米。,建面 85~220m²
华发新城,住宅,61万/套,在售,旅顺口-大连市旅顺开发区兴发路东侧（交通大学对面）,建面 76~107m²
桃源1号&秀月麒林,住宅,160万/套,在售,中山-解放路桃源街秀月桥北侧,建面 165m²
钻石9座,住宅,50万/套,在售,开发区-开发区保税区轻轨站南侧,建面 78~81m²
金石城,住宅,60万/套,在售,金州-开发区金石滩龙谷街235号（鲁迅美术学院东侧）,建面 105m²
万恒天籁湾,住宅,85万/套,在售,金州-金州新区大魏家街道莱茵海岸,建面 145m²
我爱我家三期,住宅,75万/套,在售,甘井子-甘井子区东至翡翠春城小区.西至安邦开发住宅小区.南至山体.北至金柳一街,建面 74m²
华都文郡,住宅,61万/套,在售,沙河口-五一路与白山路交汇处,建面 36m²
港湾观海,住宅,40万/套,在售,开发区-保税区大窑湾北岸生活区,建面 86m²
金湾山城,住宅,35万/套,在售,开发区-金州新区铁山中路与大地街交汇处（金湾又一城项目北侧一公里）,建面 67m²
