name,type,price,state,position,area
融信杭州公馆,住宅,65000元/平,在售,西湖-学院路与文一路交叉口往北300米（原杭师大旧址）,建面 139m²
钱塘大观,住宅,28000元/平,在售,滨江-闻涛路与六和路交汇处以西,建面 230m²
万通中心,商业类,29000元/平,在售,拱墅-上塘路与大关路交叉口,建面 79m²
蓝钻天成,商业类,40000元/平,在售,拱墅-莫干山路969号,建面 78m²
阳光郡,住宅,29000元/平,在售,拱墅-拱墅莫干山路与长青路（广业街）交界处,建面 178m²
九龙仓君玺,住宅,62000元/平,在售,下城-文晖路与东新路交叉口,建面 345m²
新湖武林国际公寓,住宅,72500元/平,在售,下城-环城北路167号,建面 215~225m²
融创瑷骊山,住宅,731万/套,在售,西湖-之江国家旅游度假区象山路西,建面 335m²
世茂天宸,住宅,64000元/平,在售,江干-艮山西路95号,建面 275m²
万科郡西澜山,住宅,26500元/平,在售,余杭-良渚文化村内，东邻风情大道，北侧为郡西别墅,建面 140m²
协安蓝郡,住宅,26500元/平,在售,余杭-古墩路与金渡北路交界处,建面 271m²
得力名望府,住宅,21000元/平,在售,萧山-金城路与规划香樟路交接处,建面 90m²
东亚新干线,商业类,35000元/平,在售,江干-天城路与明月桥路交叉口,建面 43m²
西溪蓝海,商业类,25000元/平,在售,余杭-文一西路良睦路口向南200米,建面 71m²
金成英特学府,住宅,23500元/平,在售,余杭-天目山西路城东路西南,建面 139m²
华瑞晴庐,住宅,28000元/平,在售,萧山-建设二路与育才路交叉口往东100米,建面 179m²
中企艮山府,住宅,33500元/平,在售,江干-艮山西路和运河东路交叉口518号,建面 280m²
金铂湾,商业类,183万/套,在售,滨江-闻涛路与通和路交叉口,建面 88m²
金都夏宫,住宅,25000元/平,在售,余杭-余杭北沙西路（临平星河路与北沙西路交叉口）,建面 135m²
溪悦宸府,住宅,24550元/平,在售,余杭-五常大道横板桥社区,建面 190m²
向江来时代中心,商业类,32000元/平,在售,江干-塘工局路与严家路交叉口,建面 50m²
科尔世纪外滩,别墅,1100万/套,在售,萧山-水博大道1号,建面 335m²
明华名港城二期,住宅,13800元/平,在售,萧山-瓜沥镇瓜渔路新建任伯年小学东侧,建面 100m²
柏润国际花园,住宅,14000元/平,在售,淳安-岛湖城中心位置新安南路10号,建面 97~169m²
万科大都会79号,住宅,49000元/平,在售,江干-钱江新城之江隧道运河东路出口,建面 160m²
武林外滩,住宅,95000元/平,在售,下城-下城区文暉路336号-1,建面 260~348m²
保利中央公馆,住宅,55000元/平,在售,江干-艮山西路与新塘路交叉口（4号线新塘路站B出口）,建面 139m²
首开武林8栋,住宅,35000元/平,在售,江干-石桥路143号,建面 89m²
荀庄,别墅,725万/套,在售,余杭-良渚街道荀山村,建面 247m²
信融御金台,商业类,24500元/平,在售,萧山-民和路与平澜路交汇处,建面 415~418m²
宋都时间国际,商业类,198万/套,在售,江干-德胜路与同协南路交汇处,建面 79m²
绿城运河郡,商铺,45000元/平,在售,拱墅-小河路以东、昼锦街以南、运河天地以北,--
远洋杭州大运河商务区,写字楼,28500元/平,在售,拱墅-大浒街101-129号（单号）,--
世茂中心,写字楼,17500元/平,在售,滨江-滨江区闻涛路和信诚路交叉口,--
万宝城,商铺,40000元/平,在售,余杭-余杭临平荷禹路与北沙西路交汇处,--
浙港国际,商业类,170万/套,在售,西湖-西湖区紫荆花路与长江路口,建面 51m²
六合浅山,住宅,13000元/平,在售,淳安-千岛湖睦州大道客运中心对面,建面 260m²
侨福一品高尔夫,住宅,17000元/平,在售,海宁市-农发区西部、聆涛路西侧、一号直河南侧,建面 89m²
杭州港龙城,商铺,39500元/平,在售,江干-明月桥路与鸿泰路交叉路口,--
万都晶座,商业类,17000元/平,在售,萧山-南秀路与萧山通惠南路路交叉口,建面 45~58m²
杭州万达广场,写字楼,18500元/平,在售,拱墅-石祥路和杭行路交汇处东北方向,--
