name,type,price,state,position,area
昆明新城吾悦广场,住宅,10500元/平,在售,五华-泛亚新区筇王路与沙河路交叉口,建面 97~130m²
俊发九夏云水,别墅,16000元/平,在售,西山-广福路与滇池路交汇处,建面 125~760m²
融创春风十里,住宅,12500元/平,在售,五华-海屯路与科普路交汇处,建面 81~117m²
俊发城,住宅,11000元/平,在售,盘龙-北京路与沣源路交汇处,建面 67~206m²
俊发空港城,商业类,5000元/平,在售,嵩明-云南省昆明市杨林工业园区空港大道旁,建面 35~150m²
恒大翡翠华庭,住宅,11000元/平,在售,盘龙-北京路与沣源路交叉口龙头街地铁站斜对面,建面 77~139m²
碧桂园紫台,住宅,19000元/平,在售,西山-广福路国家开发银行后侧,建面 147~264m²
第七街区,商业类,8350元/平,在售,呈贡-云南省昆明市呈贡区仕林街商饮中心8幢2层54号,建面 23~58m²
滇池名门,住宅,10500元/平,在售,西山-前兴路与河宏路交叉口西南角,建面 69~144m²
碧桂园KCC云南映象,住宅,14000元/平,在售,盘龙-穿金路与铂金大道交汇处,建面 119~269m²
保利大家,住宅,100万/套,在售,五华-普吉路与二环北路交叉口西侧,建面 88~131m²
版筑青果,住宅,84万/套,在售,五华-滇缅大道与西三环交叉口（三检站旁）,建面 67~93m²
中建龙熙壹号,住宅,12000元/平,在售,盘龙-龙源路与龙溪路之间,建面 83~140m²
野鸭湖,别墅,10000元/平,在售,盘龙-野鸭湖旅游度假区内,建面 175~319m²
溪麓南郡,住宅,9500元/平,在售,盘龙-世博金殿板块野生动物园旁,建面 56~123m²
筑友双河湾,住宅,13000元/平,在售,西山-广福路与前兴路交汇处,建面 52~172m²
天宇澜山,住宅,7500元/平,在售,盘龙-北京路延长线与农科北路交汇处,建面 82~258m²
七彩云南古滇名城,别墅,9800元/平,在售,晋宁-环湖南路滇池南岸,建面 77~773m²
泛亚城邦,住宅,6600元/平,待售,呈贡-云南省昆明市呈贡区仕林街商饮中心8幢2层54号,建面 58~141m²
华飞名盛世界,住宅,6800元/平,在售,呈贡-石龙路与春融东路交叉口前行 300米 洛羊派出所旁,--
广电苑,住宅,4600元/平,在售,呈贡-雨花片区地铁1号线大学城南站旁,建面 85~156m²
恒大云报华府,住宅,15000元/平,在售,西山-日新中路与前卫西路交叉口西行300米,建面 91~143m²
怡合景苑,住宅,7600元/平,在售,五华-人民西路与海源路交叉路口,建面 77~144m²
西城时代,住宅,26000元/平,在售,五华-滇缅大道与昌源北路交叉口,建面 37~123m²
融城昆明湖,住宅,10000元/平,在售,盘龙-盘龙区北京路延长线西侧（盘龙区政府前行900米）,建面 101~237m²
昆明恒大名都,住宅,13000元/平,在售,五华-高新区与泛亚科技新区交汇处海屯路与科新路交叉口,建面 77~150m²
世博生态城鸣凤邻里,住宅,12500元/平,在售,盘龙-世博生态城片区,建面 126~230m²
绿地大城天地,商业类,13000元/平,在售,西山-南二环南侧（南二环与前卫西路交汇处）,建面 33~132m²
俊发盛唐城,住宅,13000元/平,在售,盘龙-穿金路与北辰大道交汇处,建面 72~372m²
华夏天璟湾,别墅,1590万/套,在售,西山-西山区滇池路列侬溪谷旁,建面 435~1913m²
蓝光林肯公园,住宅,10500元/平,在售,盘龙-临铂金大道,建面 96~144m²
华信名旺角,住宅,7000元/平,在售,西山-日新中路与陆家路交汇处,建面 74~127m²
恒大玖珑湾,住宅,108万/套,在售,官渡-昌宏西路以南，五甲塘湿地公园往北1公里处,建面 83~146m²
金泰国际,住宅,11000元/平,在售,五华-五华西二环与滇缅大道交汇处（黄土坡立交桥旁）,建面 68~118m²
碧桂园半山龙庭,住宅,10500元/平,在售,五华-霖雨路与龙泉路交汇处昆八中旁,建面 100~147m²
枫桥家园,别墅,8000元/平,在售,富民-武昆高速公路富民出口旁,建面 41~374m²
俊发滇池ONE,别墅,550万/套,在售,官渡-官渡区环湖东路与云秀路交叉口,建面 433m²
海埂悦府,住宅,18000元/平,在售,西山-滇池旅游度假区红塔东路198号（滇池卫城旁）,建面 137~308m²
绿地香树花城,住宅,10000元/平,在售,五华-陈家营路与金川路交叉口向西200米,建面 71~116m²
富春山居,别墅,9500元/平,在售,安宁-太平新城,建面 61~198m²
华润中央公园,住宅,8000元/平,在售,盘龙-北京路与竹园路交叉口（瀑布公园对面）,建面 73~138m²
海伦国际,住宅,45万/套,在售,官渡-广福路与金源大道交汇处,建面 84~160m²
云润天阳,住宅,12000元/平,在售,盘龙-云南省昆明市盘龙区穿金路青龙山(金殿)6幢,建面 47~383m²
俊发逸天峰,住宅,21000元/平,在售,盘龙-盘龙区白龙路与白塔路交汇处,--
东盟森林,住宅,7500元/平,在售,呈贡-小王家营,建面 61~74m²
滇池俊府,住宅,118万/套,在售,官渡-环湖东路与云秀路交叉口,建面 90~156m²
昆明玉器城,住宅,14000元/平,在售,盘龙-茨坝花渔沟片区石关村,建面 40m²
滇池明珠广场,住宅,9000元/平,在售,呈贡-驼峰街地铁D出口,建面 85~247m²
碧桂园都荟,住宅,8500元/平,在售,盘龙-五华小康大道620号,建面 44~104m²
中信嘉丽泽,别墅,11000元/平,在售,嵩明-空港经济区嘉丽泽湿地,建面 35~1167m²
蓝光天娇城,住宅,9118元/平,在售,呈贡-云南省昆明市呈贡区云南白药街3686号,建面 57~71m²
惠景园,住宅,6300元/平,在售,呈贡-龙城片区（呈贡老城国土资源对面，呈贡一中旁）,建面 90~260m²
润城,住宅,13000元/平,在售,西山-日新路与前兴路交汇处,建面 41~246m²
俊发湾流海,住宅,54万/套,在售,官渡-云秀路,建面 122m²
七彩云南第壹城,住宅,9800元/平,在售,呈贡-呈贡新区吴家营片区中部，彩云南路西端,建面 76~305m²
碧鸡名城,住宅,9000元/平,在售,西山-（白马小区）近华浦路与丹霞路交岔口,建面 85~258m²
南悦城,住宅,14000元/平,在售,西山-广福路与希望路交叉口,建面 81~158m²
曦园,住宅,12250元/平,在售,五华-云南省昆明经开区信息产业基地13-2号云南海归创业园1幢5楼521室,建面 65~179m²
汇和紫薇园,住宅,79万/套,在售,官渡-寺瓦路和太平路交叉口（太平村）,建面 87m²
公园1903,住宅,13000元/平,在售,西山-滇池路与广福路中间，东临前卫西路,建面 133~147m²
悦中心,商业类,19000元/平,在售,盘龙-北京路与白云路交叉口,建面 52~155m²
实力玖如堂,住宅,17000元/平,在售,五华-龙泉路转向教场北路300米,建面 88~315m²
实力心城,住宅,10500元/平,在售,呈贡-地铁一号线春融街站旁,建面 40~48m²
东旭骏城,住宅,54万/套,在售,官渡-虹桥立交旁,建面 74~129m²
中海锦苑,住宅,10500元/平,在售,五华-龙泉路与红云路 交叉路口以北200米,建面 76~119m²
招商海公馆,住宅,156万/套,在售,官渡-官渡环湖路以南滇池半岛板块,建面 119~142m²
世博首岸,住宅,13000元/平,在售,盘龙-盘龙区龙庆路佳园上居旁,建面 328~362m²
城市山,别墅,15000元/平,在售,西山-春雨路转宝花路600米处（宝珠生态公园门口）,建面 167~173m²
山海湾,住宅,53万/套,在售,官渡-环湖东路滇池国际会展中心旁,建面 53~377m²
融创澜玥台,住宅,12000元/平,在售,官渡-广福路中段（海丽宾雅酒店旁）,建面 106~142m²
新时代广场,住宅,14000元/平,在售,五华-红云路与盘江西路交叉口,建面 99~137m²
蓝光水岸公园,住宅,87万/套,在售,官渡-官渡广福路与康福路交汇处（邦盛建材城对面）,建面 92~127m²
瑞鼎城,住宅,13000元/平,在售,盘龙-昆明市白云路与白龙路交汇处,建面 73~134m²
长水航城,住宅,5300元/平,在售,官渡-长水国际机场东南侧3公里,建面 204~261m²
第三城,住宅,48万/套,在售,官渡-官渡经开区顺通大道（出口加工区对面）,建面 68~165m²
北大资源博泰城,住宅,15000元/平,在售,西山-环城西路与人民西路交叉口,建面 74~113m²
海伦先生,商业类,11000元/平,在售,五华-学府路745号（学府人家旁）,建面 31~132m²
银河明珠,住宅,9600元/平,在售,五华-红康路与红锦路交汇处,建面 78~116m²
温泉山谷,商业类,12500元/平,在售,安宁-温泉镇,建面 38~338m²
中航城,住宅,54万/套,在售,官渡-珥季路西段与绕城路交汇处,建面 68~128m²
时代俊园,住宅,7500元/平,在售,呈贡-呈贡区马金铺办事处和大渔与雨花办事处,建面 103~132m²
中海半岛华府,住宅,70万/套,在售,官渡-官南大道与环湖东路交叉口,建面 70~138m²
万宏国际,住宅,9500元/平,在售,盘龙-联盟路与万宏路交汇处,建面 57~138m²
银河北庭,住宅,7800元/平,在售,盘龙-小康大道580号,建面 89~117m²
大观首府,住宅,13500元/平,在售,西山-西园路与大观路交汇处,建面 124~238m²
马街摩尔城,住宅,7800元/平,在售,西山-兴苑路北师大附中旁,--
万彩城,住宅,14000元/平,在售,五华-龙泉路旅游学校对面,建面 70~143m²
世豪香颂时光,住宅,58万/套,在售,官渡-官渡区昌宏路与贵昆路交汇处,建面 67~145m²
万科银海泊岸,住宅,14500元/平,在售,西山-前兴路与环湖东路交汇处以东盘龙江畔,建面 128~143m²
官房都铎城邦,别墅,16000元/平,在售,官渡-环湖东路滇池国际城市湿地公园北,建面 87~265m²
万科城市之光,住宅,9000元/平,在售,盘龙-盘龙区金瓦路中段,建面 89~108m²
碧桂园凤凰湾,住宅,10800元/平,在售,盘龙-昆明市盘龙区寺瓦路白沙湖旁,建面 125~207m²
融城金阶,住宅,11500元/平,在售,官渡-民航路与关上南路交汇处,建面 50~126m²
河畔俊园,住宅,14000元/平,在售,官渡-官渡广福路与云秀路交叉口官渡政府旁,建面 113m²
瀚林澜山,住宅,7400元/平,在售,盘龙-盘龙寺瓦路金沙小区旁,建面 88~141m²
美的顺城府,住宅,13000元/平,在售,盘龙-金瓦路北,建面 127~147m²
德润朗悦湾,住宅,6500元/平,在售,盘龙-五华区北京路盘龙江畔，银河大道与沣源路交汇处（和谐世纪往北200米）,建面 45~134m²
