name,type,price,state,position,area
银城君颐东方,住宅,40000元/平,在售,栖霞-马群街169号,建面 85~170m²
恒大悦澜湾,住宅,26500元/平,在售,江宁-嘉业路8号,建面 96~128m²
碧桂园凤凰城,住宅,12000元/平,在售,句容-经济开发区S122东北侧碧桂园凤凰城,建面 101~125m²
万科金域东方,住宅,24000元/平,在售,江宁-淳化街道梨树园路9号,建面 90~128m²
宝隆时代广场,写字楼,18000元/平,在售,浦口-江浦街道新浦路128号,--
嘉誉山,住宅,28500元/平,在售,栖霞-兴贤路19号,建面 127~141m²
金浦紫御东方,住宅,28500元/平,在售,栖霞-经五路金浦紫御东方,建面 75~126m²
融侨观邸,住宅,26300元/平,在售,浦口-海院路88号,建面 106~144m²
中建国熙台,住宅,550万/套,在售,浦口-新浦路中建国熙台,建面 166m²
恒大翡翠华庭,住宅,31946元/平,在售,玄武-红山街道华飞路,建面 230m²
明发珠江国际,住宅,225万/套,在售,浦口-张敦路59号,建面 129m²
高科荣境桂山堂,住宅,32000元/平,在售,栖霞-守敬路313号,建面 319m²
骋望七里楠花园,住宅,10000元/平,在售,六合-龙池街道龙华路66号,建面 282m²
尚峰尚水,别墅,18000元/平,在售,浦口-汤泉街道尚峰尚水,建面 190~310m²
帝景天誉别墅,别墅,27600元/平,在售,江宁-江宁双龙大道3000号,建面 285m²
北江锦城,住宅,24300元/平,在售,浦口-雨山西路89号,建面 101~125m²
恒辉假日广场,住宅,624万/套,在售,浦口-珍珠南路1号,建面 106~159m²
荣盛花语城,住宅,12800元/平,在售,六合-龙池街道林场路1号,建面 88~98m²
卧龙湖小镇,别墅,14900元/平,在售,溧水-卧龙湖大道1号,建面 146~293m²
路易庄园,别墅,730万/套,在售,浦口-雨山西路89号,建面 309~362m²
新城璞樾钟山,住宅,41800元/平,在售,栖霞-奔马路新城璞樾钟山,建面 166m²
荣盛鹭岛荣府,住宅,11500元/平,在售,六合-马鞍街道鹭岛南路3号,建面 88~132m²
鸿信云深处,别墅,1762万/套,在售,江宁-东山街道神凤路1169号,建面 502~623m²
电建海赋尚城,住宅,25800元/平,在售,栖霞-经五路电建海赋尚城,建面 78~120m²
瑞安翠湖山,别墅,23000元/平,在售,江宁-牛首山大道121号,建面 370~460m²
花样年花样城,住宅,9000元/平,在售,高淳-双高路50号,建面 131m²
山河水花园,别墅,900万/套,在售,浦口-汤泉镇假日路8号,建面 435m²
九月森林,别墅,1400万/套,在售,浦口-黄山岭路九月森林,建面 505~603m²
紫金铭苑,住宅,27000元/平,在售,栖霞-幕府东路228号,建面 116~119m²
大华锦绣华城香鸢美颂,别墅,24600元/平,在售,浦口-浦珠北路59号,建面 222~275m²
冠城大通蓝郡,住宅,13800元/平,在售,六合-龙池街道雄州南路333号,建面 81~97m²
明发香山郡,住宅,26000元/平,在售,浦口-浦口江浦街道沿山大道与财八路交叉口（大马山路6号）,建面 89~210m²
藏珑谷山庄,别墅,12800元/平,在售,溧水-乌夏路88号,建面 317m²
海尔双湖壹号公馆,住宅,8300元/平,在售,高淳-双湖路1号,建面 103~124m²
首创立方,商业类,20000元/平,在售,建邺-建邺地铁二号线天迈广场油坊桥站,建面 43~54m²
德基世贸壹号,写字楼,37000元/平,在售,建邺-庐山路208号,--
金象朗诗红树林,住宅,26000元/平,在售,浦口-江山路6号,建面 126m²
