name,type,price,state,position,area
鸿坤原乡小镇,住宅,9000元/平,在售,宝坻-京津新城宝白公路与龙江大街交口,建面 92m²
中昂安纳西小镇,住宅,14300元/平,在售,静海-团泊新城西区东海道东侧、盛湖路北侧,建面 105~120m²
中骏云景台,住宅,11500元/平,在售,静海-团泊新城光合谷旅游度假风景区南侧,建面 108~123m²
融创融园,住宅,26000元/平,在售,东丽-东丽区登州南路与方山道交口向东400米,建面 93~142m²
大唐盛世,住宅,10000元/平,在售,津南-八里台镇天嘉湖大道东侧,建面 77~114m²
天津东方环球影城,商业类,18000元/平,在售,西青-中北镇阜锦道与万卉路交口（曹庄花市西行300米）,建面 50~121m²
中海学府公馆,商业类,170万/套,在售,河西-黑牛城道与洞庭路交口,建面 50~91m²
中冶盛世国际广场,商业类,27000元/平,在售,河西-大沽南路与洪泽路交口(靠近中环),建面 53~83m²
富国高银,住宅,40000元/平,在售,西青-海泰华科九路16号,建面 201~313m²
北塘古镇,别墅,18000元/平,在售,塘沽-北塘经济区彩虹桥西南侧 ,建面 310~395m²
路劲太阳城,住宅,32000元/平,在售,河东-龙山道与天山北路交口,建面 74~143m²
华润紫阳里,商业类,36000元/平,在售,和平-新华路与长春道交口（滨江道旁）,建面 42~68m²
信恒锦园,商业类,15000元/平,在售,津南-双港镇外环辅路与景盛路交口,建面 38~50m²
仁恒滨河湾,住宅,20000元/平,在售,津南-海河教育园区(北洋园)南慧路与经四路交口南侧 ,建面 118~169m²
河东融科瀚棠,住宅,482万/套,在售,河东-月牙河与昆仑路交口，河东文化公园旁 ,建面 82~98m²
松江置嘉公寓,商业类,25000元/平,在售,南开-鞍山西道与白堤路交口,建面 41~98m²
万科民和巷,住宅,231万/套,在售,东丽-津塘公路与外环线交口,建面 115m²
天津雅颂居,住宅,56000元/平,在售,河东-六纬路与六经路交口南侧,建面 180~191m²
星河时代,别墅,600万/套,在售,北辰-辰顺路西侧,建面 175m²
奕聪花园,商业类,23000元/平,在售,南开-红旗南路快速路北侧,建面 95~190m²
天津全运村,住宅,40000元/平,在售,河西-洞庭路与渌水道交口,建面 145~286m²
天津恒大帝景,住宅,43000元/平,在售,河东-海河东路与快速路交口西侧,建面 128~275m²
融创城,住宅,32000元/平,在售,东丽-津滨大道与登州南路交口,建面 86~139m²
富豪新开门,住宅,41000元/平,在售,河东-新开路与卫国道交口,建面 107~140m²
格调绮园,商业类,32000元/平,在售,河西-黑牛城道与太湖路交口,建面 87~97m²
天房意境,住宅,17500元/平,在售,津南-双港镇新家园内景荔道与汇川路交口,建面 102~113m²
万科金域华府,住宅,170万/套,在售,东丽-新立街旌智道与锐路交口处东北侧,建面 90~115m²
平墅华府,住宅,14000元/平,在售,静海-静海东兴道与静王公路交口处,建面 100~135m²
英伦假日,别墅,38000元/平,在售,武清-广贤路与致远道交口,建面 193~237m²
融创伍杄岛,别墅,15500元/平,在售,静海-静海团泊湖东区中央大道与泽水北路交口,建面 162~284m²
金地艺城悦府,住宅,22000元/平,在售,津南-津南津沽路与鑫怡路交口东北侧,建面 82~132m²
