name,type,price,state,position,area
碧桂园泰富城,商业类,17000元/平,在售,汉阳-沌口三环线与江城大道交界处（永旺旁）,建面 29~55m²
鑫聚温莎半岛,别墅,560万/套,在售,蔡甸-经济开发区知音湖畔（天鹅湖大道与温莎半岛路交汇）,建面 361~524m²
万金国际广场,商业类,17000元/平,在售,武昌-紫阳东路与中山路交汇处（武昌火车站旁）,建面 44~63m²
兴华尚都国际,住宅,30000元/平,在售,江汉-建设大道与汉西交汇处（地铁3号线双墩站旁）,建面 235m²
沿海菱角湖壹号,商业类,25000元/平,在售,江汉-武汉市江汉区长江日报路与菱角湖路交汇处（菱角湖公园旁）,建面 45~55m²
华中国际广场,商业类,16000元/平,在售,江岸-竹叶山转盘黄孝河路与黄埔大街交汇处,建面 34~85m²
江南花山郡,住宅,8300元/平,在售,江夏-向阳社区旁,建面 118~156m²
都会轩,住宅,1200万/套,在售,江汉-江汉区江汉四路和江汉路步行街交汇处,建面 403m²
鼎盛华城,住宅,19300元/平,在售,江岸-兴业路167号,建面 156m²
越秀星汇君泊越天地,商业类,14000元/平,在售,江岸-塔子湖东路越秀星汇君泊越天地（塔子湖东路与健美路交汇处，塔子湖体育中心旁）,建面 60m²
中国健康谷,商业类,13000元/平,在售,蔡甸-汉阳大道与五贤路交汇处,建面 44~55m²
南德榜样学府,住宅,9800元/平,在售,黄陂-巨龙大道日月山水站附近,建面 96~116m²
天宇万象国际,商业类,14000元/平,在售,硚口-古田二路与长升路交汇处,建面 51~105m²
龙山观邸,住宅,9100元/平,在售,江夏-江夏纸坊街青龙路（青龙水库旁）,建面 135~156m²
联投金色港湾锦绣,住宅,15000元/平,在售,蔡甸-博学路6号,建面 85~135m²
洺悦府,住宅,23000元/平,在售,硚口-解放大道与古田五路交汇处,建面 168m²
中交江锦湾,商业类,18000元/平,在售,青山-红钢二街（武汉市49中高中部旁）,建面 52~78m²
恒大御景湾,商业类,15000元/平,在售,汉阳-鹦鹉大道与汉新大道交汇处（距国博500米）,建面 65~112m²
泰顺和商业中心,商业类,5700元/平,在售,东西湖-东西湖长青街107国道以南，高桥五路以西，台南一道以北,建面 58~105m²
东方雨林,住宅,10800元/平,在售,东湖高新-城际铁路庙山新村站前行200米,建面 134~146m²
武汉SOHO,商业类,5500元/平,在售,新洲-阳逻经济开发区余泊大道99号,建面 40~59m²
