name,type,price,state,position,area
赛高悦府,住宅,18000元/平,在售,未央-未央路与凤城七路十字西侧,建面 278~303m²
三迪枫丹,住宅,11000元/平,在售,雁塔-南三环与五典坡路交汇处向东200米,建面 88~129m²
碧桂园凤凰城,住宅,13000元/平,在售,未央-北三环北辰立交往北500米路西,建面 136~260m²
KingMall未来中心,商业类,12000元/平,在售,莲湖-昆明路330号（丈八北路与昆明路十字西南角）,建面 30~104m²
亿润锦悅汇,商业类,9500元/平,在售,莲湖-大庆西路81号,建面 33~66m²
群贤道九號,住宅,18000元/平,在售,雁塔-南二环与群贤路交汇处向南300米,建面 95~219m²
天伦御城龙脉,住宅,11000元/平,在售,雁塔-南二环铁一中北门,建面 58~146m²
万科东方传奇,住宅,13000元/平,在售,雁塔-雁翔路与黄渠头路十字交汇向东200米,建面 83m²
恒大国际城,住宅,9500元/平,在售,未央-尚稷路与尚宏路交汇处,建面 82~129m²
金科天籁城,住宅,13000元/平,在售,未央-太华北路与凤城二路十字东侧万达广场旁,建面 107~129m²
万科城市之光,住宅,13000元/平,待售,雁塔-南三环与芙蓉西路交汇处向南300米,--
金地南湖艺境,住宅,11000元/平,在售,雁塔-新开门南路与南三环十字东南角,建面 97~275m²
曲江紫汀苑,住宅,23000元/平,在售,雁塔-大唐芙蓉园东200米,建面 510m²
锦园曲江龙邸,住宅,13000元/平,在售,雁塔-雁翔路雁翔广场,建面 138~230m²
万达西安ONE,住宅,18600元/平,在售,雁塔-唐延路与科技六路交汇处（东南角）,建面 90~148m²
中贸广场,住宅,14000元/平,在售,碑林-南关正街与友谊路十字路口向北280米路西,建面 99~134m²
绿地国际花都,住宅,11000元/平,在售,雁塔-科技路西段富鱼路与西三环交汇处,建面 85~108m²
上上墅,住宅,17000元/平,在售,灞桥-矿山路中段,建面 32~55m²
国金华府,住宅,15000元/平,在售,未央-凤城八路与文景路十字交汇处西南角,建面 220~270m²
白桦林明天,住宅,13000元/平,在售,新城区-大明宫国家遗址公园东南侧,建面 96~410m²
中建国熙台,住宅,14000元/平,在售,雁塔-科技路与团结南路十字西北角,建面 190~222m²
珠江新城,住宅,3750元/平,在售,未央-北二环东段御井路1606号,建面 51~73m²
首府尚苑,住宅,7900元/平,在售,未央-凤城八路东段政务中心北200米路西,建面 56~92m²
万科翡翠天誉,住宅,16500元/平,在售,雁塔-科技二路与丈八北路交汇,建面 160~193m²
荣民宫园中央,住宅,14500元/平,在售,未央-未央路与玄武路十字东南角200米,建面 101~114m²
建邦华庭,住宅,18000元/平,在售,雁塔-科技六路与太白南路交汇处西南角,建面 153~178m²
中航樾公馆,住宅,16500元/平,待售,未央-未央路与玄武路交汇处向东约500米路北,--
中国铁建西派国际,住宅,16500元/平,在售,未央-太华路与北二环十字东南角,建面 178~201m²
臻园阳光,住宅,8600元/平,在售,灞桥-纺织城正街449号,建面 53~110m²
曲江美好时光,住宅,9600元/平,在售,雁塔-南三环与雁引路交汇处向东200米,建面 107~141m²
立丰城市生活广场,住宅,14500元/平,在售,雁塔-丈八东路与子午大道十字西南角,建面 33~135m²
春城十八里,别墅,600万/套,在售,未央-秦汉新城兰池大道西段,建面 318m²
九如居,住宅,5800元/平,在售,高陵-泾渭四路51号,建面 78~127m²
贰号大院,住宅,13500元/平,在售,未央-凤城七路与永徽路十字西北角（未央路以东）,建面 163m²
万科城润园,住宅,12000元/平,在售,长安-学府大街与居安路十字东南角（陕师大长安校区南门正对面）,建面 90~134m²
万达公馆,住宅,15500元/平,在售,未央-北二环与太华北路交汇处向北200米,建面 230~255m²
