name,type,price,state,position,area
骏珑盛景豪园,住宅,14000元/平,在售,石岐区-石岐区景祥路10号,建面 90~111m²
博达外滩,住宅,15000元/平,在售,西区-岐港公路星晨广场正前方,建面 114~117m²
远洋风景,住宅,14000元/平,在售,石岐区-振兴路12号,建面 84~107m²
碧桂园保利·天启,住宅,15800元/平,在售,南朗镇-中山市南朗镇翠云路16号,建面 118m²
臻汇公馆,住宅,18000元/平,在售,西区-彩虹大道与翠沙路交汇处（湿地公园旁）,建面 40~60m²
星汇湾,住宅,16000元/平,在售,石岐区-中山二路与悦来南路交汇处(吉之岛旁),建面 300m²
传盛东方名都,住宅,17000元/平,在售,火炬-中山六路60号（实验中学旁）,建面 173~188m²
水木年华,住宅,15000元/平,在售,火炬-中山六路水木年华,建面 89~133m²
中铭新达城,住宅,15000元/平,在售,火炬-火炬路8号,建面 91~99m²
华盈爱琴湾,住宅,17000元/平,在售,石岐区-江滨东路6号,建面 165m²
滨江一号,住宅,13500元/平,在售,西区-彩虹大道10号,建面 56~213m²
富元利和豪庭二期,住宅,15500元/平,在售,石岐区-悦丽路与悦凯路交叉口南50米,建面 168m²
佛奥阳光花园,住宅,7700元/平,在售,东凤镇-东凤镇东海五路28号（小沥小学斜对面）,建面 101~124m²
雅居乐御龙山,住宅,12500元/平,在售,五桂山-山麓翠山路(中山温泉高尔夫球场旁),建面 87~142m²
富逸上苑,住宅,7700元/平,在售,阜沙镇-阜沙镇阜建路3号,建面 84~163m²
丽豪花园,住宅,11500元/平,在售,民众镇-民众镇闲庭路1号,建面 93m²
纯水岸,住宅,8900元/平,在售,板芙镇-滨江路板芙二桥旁,建面 71~126m²
御水湾,住宅,15000元/平,在售,西区-翠虹路11号,建面 130m²
雅居乐剑桥郡,住宅,13000元/平,在售,西区-翠景道南路17号,建面 106~120m²
悦盈新城,住宅,16000元/平,在售,南区-永安一路9号,建面 171m²
中铭宝翠园,住宅,10000元/平,在售,沙溪镇-沙溪镇兴公路33号,建面 86~112m²
时代御京城,住宅,10500元/平,在售,东升镇-同茂工业大道东3号,建面 52~126m²
幸福汇三期,住宅,13000元/平,在售,石岐区-岐环路9号,建面 83~101m²
正德天水湖,住宅,13000元/平,在售,石岐区-东明桥北侧（民科东路）,建面 92~114m²
恒大绿洲二期,住宅,16000元/平,在售,南区-永安一路6号,建面 92~149m²
美林春天,住宅,13500元/平,在售,石岐区-中山市石岐区岐峰路6号,建面 81~130m²
海伦时光,住宅,15500元/平,在售,西区-翠景道南11号,--
棕榈彩虹,住宅,17000元/平,在售,西区-西区翠沙路23号,建面 87~122m²
日华坊二期,住宅,15000元/平,在售,石岐区-岐环路7号,建面 44~121m²
汇泰锦城,住宅,7800元/平,在售,大涌镇-大涌镇祈安路新世纪花园旁,建面 155m²
